cod_op_red,type_day,dates,predict
ORD1,SAB,2020-01-11 0:00,899436.9705
ORD1,SAB,2020-01-11 1:00,862655.5108
ORD1,SAB,2020-01-11 2:00,842333.1372
ORD1,SAB,2020-01-11 3:00,845068.0329
ORD1,SAB,2020-01-11 4:00,881020.4626
ORD1,SAB,2020-01-11 5:00,933905.8321
ORD1,SAB,2020-01-11 6:00,994939.8247
ORD1,SAB,2020-01-11 7:00,1083211.124
ORD1,SAB,2020-01-11 8:00,1164730.607
ORD1,SAB,2020-01-11 9:00,1221044.89
ORD1,SAB,2020-01-11 10:00,1274623.765
ORD1,SAB,2020-01-11 11:00,1304669.638
ORD1,SAB,2020-01-11 12:00,1297262.397
ORD1,SAB,2020-01-11 13:00,1252953.217
ORD1,SAB,2020-01-11 14:00,1215423.015
ORD1,SAB,2020-01-11 15:00,1196173.882
ORD1,SAB,2020-01-11 16:00,1177732.564
ORD1,SAB,2020-01-11 17:00,1184508.039
ORD1,SAB,2020-01-11 18:00,1278466.223
ORD1,SAB,2020-01-11 19:00,1290962.172
ORD1,SAB,2020-01-11 20:00,1232831.661
ORD1,SAB,2020-01-11 21:00,1135295.642
ORD1,SAB,2020-01-11 22:00,1031016.771
ORD1,SAB,2020-01-11 23:00,942132.0255
ORD1,DOM,2020-01-12 0:00,859151.2347
ORD1,DOM,2020-01-12 1:00,818571.5828
ORD1,DOM,2020-01-12 2:00,789423.1331
ORD1,DOM,2020-01-12 3:00,780984.8485
ORD1,DOM,2020-01-12 4:00,783341.4994
ORD1,DOM,2020-01-12 5:00,787518.8505
ORD1,DOM,2020-01-12 6:00,784614.5409
ORD1,DOM,2020-01-12 7:00,868280.9038
ORD1,DOM,2020-01-12 8:00,950805.9938
ORD1,DOM,2020-01-12 9:00,1010227.726
ORD1,DOM,2020-01-12 10:00,1055162.235
ORD1,DOM,2020-01-12 11:00,1083379.557
ORD1,DOM,2020-01-12 12:00,1110349.304
ORD1,DOM,2020-01-12 13:00,1090299.668
ORD1,DOM,2020-01-12 14:00,1061337.796
ORD1,DOM,2020-01-12 15:00,1039833.49
ORD1,DOM,2020-01-12 16:00,1034311.909
ORD1,DOM,2020-01-12 17:00,1047088.522
ORD1,DOM,2020-01-12 18:00,1149408.758
ORD1,DOM,2020-01-12 19:00,1186440.76
ORD1,DOM,2020-01-12 20:00,1155701.36
ORD1,DOM,2020-01-12 21:00,1093947.18
ORD1,DOM,2020-01-12 22:00,1006855.83
ORD1,DOM,2020-01-12 23:00,935659.9162
ORD1,ORD,2020-01-13 0:00,829503.623
ORD1,ORD,2020-01-13 1:00,796376.3071
