cod_op_red,type_day,dates,predict
ORD1,SAB,2020-01-18 0:00,921608.7385
ORD1,SAB,2020-01-18 1:00,885254.6835
ORD1,SAB,2020-01-18 2:00,865050.2118
ORD1,SAB,2020-01-18 3:00,867815.5298
ORD1,SAB,2020-01-18 4:00,903508.7376
ORD1,SAB,2020-01-18 5:00,956040.9705
ORD1,SAB,2020-01-18 6:00,1016308.313
ORD1,SAB,2020-01-18 7:00,1103812.802
ORD1,SAB,2020-01-18 8:00,1184275.638
ORD1,SAB,2020-01-18 9:00,1238867.65
ORD1,SAB,2020-01-18 10:00,1290699.656
ORD1,SAB,2020-01-18 11:00,1318854.332
ORD1,SAB,2020-01-18 12:00,1308997.636
ORD1,SAB,2020-01-18 13:00,1262164.198
ORD1,SAB,2020-01-18 14:00,1221712.937
ORD1,SAB,2020-01-18 15:00,1199475.5
ORD1,SAB,2020-01-18 16:00,1177901.544
ORD1,SAB,2020-01-18 17:00,1181509.351
ORD1,SAB,2020-01-18 18:00,1272335.779
ORD1,SAB,2020-01-18 19:00,1281547.154
ORD1,SAB,2020-01-18 20:00,1220893.38
ORD1,SAB,2020-01-18 21:00,1120895.024
ORD1,SAB,2020-01-18 22:00,1014230.928
ORD1,SAB,2020-01-18 23:00,923343.9726
ORD1,DOM,2020-01-19 0:00,872061.0315
ORD1,DOM,2020-01-19 1:00,826111.8653
ORD1,DOM,2020-01-19 2:00,797354.1562
ORD1,DOM,2020-01-19 3:00,783850.7746
ORD1,DOM,2020-01-19 4:00,791978.4915
ORD1,DOM,2020-01-19 5:00,801941.064
ORD1,DOM,2020-01-19 6:00,805863.0323
ORD1,DOM,2020-01-19 7:00,885771.453
ORD1,DOM,2020-01-19 8:00,953771.8422
ORD1,DOM,2020-01-19 9:00,1013706.466
ORD1,DOM,2020-01-19 10:00,1057701.718
ORD1,DOM,2020-01-19 11:00,1090242.852
ORD1,DOM,2020-01-19 12:00,1108432.677
ORD1,DOM,2020-01-19 13:00,1091590.139
ORD1,DOM,2020-01-19 14:00,1067248.461
ORD1,DOM,2020-01-19 15:00,1046170.007
ORD1,DOM,2020-01-19 16:00,1022744.948
ORD1,DOM,2020-01-19 17:00,1035041.949
ORD1,DOM,2020-01-19 18:00,1142369.085
ORD1,DOM,2020-01-19 19:00,1168233.361
ORD1,DOM,2020-01-19 20:00,1129818.19
ORD1,DOM,2020-01-19 21:00,1061686.147
ORD1,DOM,2020-01-19 22:00,973097.0902
ORD1,DOM,2020-01-19 23:00,899823.3792
ORD1,ORD,2020-01-20 0:00,871489.0038
ORD1,ORD,2020-01-20 1:00,840958.9117
ORD1,ORD,2020-01-20 2:00,828743.6434
ORD1,ORD,2020-01-20 3:00,837032.765
ORD1,ORD,2020-01-20 4:00,882554.6234
ORD1,ORD,2020-01-20 5:00,1001518.359
ORD1,ORD,2020-01-20 6:00,1078595.926
ORD1,ORD,2020-01-20 7:00,1163049.343
ORD1,ORD,2020-01-20 8:00,1230536.221
ORD1,ORD,2020-01-20 9:00,1258852.135
ORD1,ORD,2020-01-20 10:00,1319866.149
ORD1,ORD,2020-01-20 11:00,1354829.816
ORD1,ORD,2020-01-20 12:00,1337371.841
ORD1,ORD,2020-01-20 13:00,1304295.757
ORD1,ORD,2020-01-20 14:00,1316968.477
ORD1,ORD,2020-01-20 15:00,1322744.596
ORD1,ORD,2020-01-20 16:00,1304985.607
ORD1,ORD,2020-01-20 17:00,1267098.473
ORD1,ORD,2020-01-20 18:00,1346106.54
ORD1,ORD,2020-01-20 19:00,1361713.69
ORD1,ORD,2020-01-20 20:00,1297553.837
ORD1,ORD,2020-01-20 21:00,1178005.824
ORD1,ORD,2020-01-20 22:00,1055154.249
ORD1,ORD,2020-01-20 23:00,964815.8586
ORD1,ORD,2020-01-21 0:00,878800.529
ORD1,ORD,2020-01-21 1:00,831928.7434
ORD1,ORD,2020-01-21 2:00,820841.7483
ORD1,ORD,2020-01-21 3:00,816093.8367
ORD1,ORD,2020-01-21 4:00,892976.1353
ORD1,ORD,2020-01-21 5:00,1011488.029
ORD1,ORD,2020-01-21 6:00,1094230.43
ORD1,ORD,2020-01-21 7:00,1168040.054
ORD1,ORD,2020-01-21 8:00,1228365.062
ORD1,ORD,2020-01-21 9:00,1275611.088
ORD1,ORD,2020-01-21 10:00,1333324.315
ORD1,ORD,2020-01-21 11:00,1364186.083
ORD1,ORD,2020-01-21 12:00,1347620.97
ORD1,ORD,2020-01-21 13:00,1326486.998
ORD1,ORD,2020-01-21 14:00,1333734.745
ORD1,ORD,2020-01-21 15:00,1327918.628
ORD1,ORD,2020-01-21 16:00,1301632.186
ORD1,ORD,2020-01-21 17:00,1290667.274
ORD1,ORD,2020-01-21 18:00,1373676.814
ORD1,ORD,2020-01-21 19:00,1361718.867
ORD1,ORD,2020-01-21 20:00,1304566.857
ORD1,ORD,2020-01-21 21:00,1191155.55
ORD1,ORD,2020-01-21 22:00,1064477.05
ORD1,ORD,2020-01-21 23:00,969847.6465
ORD1,ORD,2020-01-22 0:00,889363.384
ORD1,ORD,2020-01-22 1:00,855109.6084
ORD1,ORD,2020-01-22 2:00,835845.6253
ORD1,ORD,2020-01-22 3:00,843338.0943
ORD1,ORD,2020-01-22 4:00,900968.1043
ORD1,ORD,2020-01-22 5:00,1012629.19
ORD1,ORD,2020-01-22 6:00,1095143.847
ORD1,ORD,2020-01-22 7:00,1167960.128
ORD1,ORD,2020-01-22 8:00,1228927.914
ORD1,ORD,2020-01-22 9:00,1275959.691
ORD1,ORD,2020-01-22 10:00,1329327.79
ORD1,ORD,2020-01-22 11:00,1359133.448
ORD1,ORD,2020-01-22 12:00,1350729.065
ORD1,ORD,2020-01-22 13:00,1337133.649
ORD1,ORD,2020-01-22 14:00,1344138.426
ORD1,ORD,2020-01-22 15:00,1338811.483
ORD1,ORD,2020-01-22 16:00,1314031.356
ORD1,ORD,2020-01-22 17:00,1294027.954
ORD1,ORD,2020-01-22 18:00,1371185.673
ORD1,ORD,2020-01-22 19:00,1383713.117
ORD1,ORD,2020-01-22 20:00,1319062.414
ORD1,ORD,2020-01-22 21:00,1202419.439
ORD1,ORD,2020-01-22 22:00,1076072.892
ORD1,ORD,2020-01-22 23:00,987984.6318
ORD1,ORD,2020-01-23 0:00,907992.5715
ORD1,ORD,2020-01-23 1:00,871031.8144
ORD1,ORD,2020-01-23 2:00,850174.883
ORD1,ORD,2020-01-23 3:00,856652.3853
ORD1,ORD,2020-01-23 4:00,917456.459
ORD1,ORD,2020-01-23 5:00,1029599.981
ORD1,ORD,2020-01-23 6:00,1108562.858
ORD1,ORD,2020-01-23 7:00,1180420.551
ORD1,ORD,2020-01-23 8:00,1240339.536
ORD1,ORD,2020-01-23 9:00,1286028.386
ORD1,ORD,2020-01-23 10:00,1342732.89
ORD1,ORD,2020-01-23 11:00,1376013.936
ORD1,ORD,2020-01-23 12:00,1366948.446
ORD1,ORD,2020-01-23 13:00,1358424.854
ORD1,ORD,2020-01-23 14:00,1360556.819
ORD1,ORD,2020-01-23 15:00,1353514.822
ORD1,ORD,2020-01-23 16:00,1323939.026
ORD1,ORD,2020-01-23 17:00,1303453.328
ORD1,ORD,2020-01-23 18:00,1385573.924
ORD1,ORD,2020-01-23 19:00,1405312.199
ORD1,ORD,2020-01-23 20:00,1349523.807
ORD1,ORD,2020-01-23 21:00,1210469.752
ORD1,ORD,2020-01-23 22:00,1087292.467
ORD1,ORD,2020-01-23 23:00,991782.9965
ORD1,ORD,2020-01-24 0:00,911159.6621
ORD1,ORD,2020-01-24 1:00,870996.3796
ORD1,ORD,2020-01-24 2:00,843813.8973
ORD1,ORD,2020-01-24 3:00,850054.7634
ORD1,ORD,2020-01-24 4:00,921076.509
ORD1,ORD,2020-01-24 5:00,1039329.408
ORD1,ORD,2020-01-24 6:00,1113356.765
ORD1,ORD,2020-01-24 7:00,1189617.792
ORD1,ORD,2020-01-24 8:00,1245647.342
ORD1,ORD,2020-01-24 9:00,1293504.154
ORD1,ORD,2020-01-24 10:00,1352249.801
ORD1,ORD,2020-01-24 11:00,1387795.864
ORD1,ORD,2020-01-24 12:00,1374713.319
ORD1,ORD,2020-01-24 13:00,1356502.882
ORD1,ORD,2020-01-24 14:00,1357143.639
ORD1,ORD,2020-01-24 15:00,1354204.766
ORD1,ORD,2020-01-24 16:00,1328717.447
ORD1,ORD,2020-01-24 17:00,1315551.59
ORD1,ORD,2020-01-24 18:00,1411022.659
ORD1,ORD,2020-01-24 19:00,1400719.264
ORD1,ORD,2020-01-24 20:00,1327006.473
ORD1,ORD,2020-01-24 21:00,1208566.642
ORD1,ORD,2020-01-24 22:00,1080967.907
ORD1,ORD,2020-01-24 23:00,987186.9697
ORD1,SAB,2020-01-25 0:00,906558.9614
ORD1,SAB,2020-01-25 1:00,869000.178
ORD1,SAB,2020-01-25 2:00,848077.4884
ORD1,SAB,2020-01-25 3:00,850582.2415
ORD1,SAB,2020-01-25 4:00,886519.0853
ORD1,SAB,2020-01-25 5:00,939748.441
ORD1,SAB,2020-01-25 6:00,1001190.703
ORD1,SAB,2020-01-25 7:00,1090276.445
ORD1,SAB,2020-01-25 8:00,1172731.298
ORD1,SAB,2020-01-25 9:00,1229637.334
ORD1,SAB,2020-01-25 10:00,1284094.326
ORD1,SAB,2020-01-25 11:00,1315084.049
ORD1,SAB,2020-01-25 12:00,1308251.647
ORD1,SAB,2020-01-25 13:00,1264524.768
ORD1,SAB,2020-01-25 14:00,1227237.97
ORD1,SAB,2020-01-25 15:00,1208116.025
ORD1,SAB,2020-01-25 16:00,1189586.683
ORD1,SAB,2020-01-25 17:00,1196067.112
ORD1,SAB,2020-01-25 18:00,1289579.905
ORD1,SAB,2020-01-25 19:00,1301200.65
ORD1,SAB,2020-01-25 20:00,1242676.61
ORD1,SAB,2020-01-25 21:00,1144451.289
ORD1,SAB,2020-01-25 22:00,1039215.109
ORD1,SAB,2020-01-25 23:00,949349.4445
ORD1,DOM,2020-01-26 0:00,857850.7573
ORD1,DOM,2020-01-26 1:00,816426.5625
ORD1,DOM,2020-01-26 2:00,789019.1677
ORD1,DOM,2020-01-26 3:00,778819.3891
ORD1,DOM,2020-01-26 4:00,786431.7388
ORD1,DOM,2020-01-26 5:00,793203.9336
ORD1,DOM,2020-01-26 6:00,801651.6476
ORD1,DOM,2020-01-26 7:00,885479.3943
ORD1,DOM,2020-01-26 8:00,950302.9648
ORD1,DOM,2020-01-26 9:00,1006392.634
ORD1,DOM,2020-01-26 10:00,1048041.679
ORD1,DOM,2020-01-26 11:00,1083971.708
ORD1,DOM,2020-01-26 12:00,1097231.514
ORD1,DOM,2020-01-26 13:00,1078448.622
ORD1,DOM,2020-01-26 14:00,1065433.847
ORD1,DOM,2020-01-26 15:00,1040954.904
ORD1,DOM,2020-01-26 16:00,1018016.046
ORD1,DOM,2020-01-26 17:00,1032896.798
ORD1,DOM,2020-01-26 18:00,1132897.227
ORD1,DOM,2020-01-26 19:00,1166283.875
ORD1,DOM,2020-01-26 20:00,1127058.981
ORD1,DOM,2020-01-26 21:00,1058624.311
ORD1,DOM,2020-01-26 22:00,973715.4257
ORD1,DOM,2020-01-26 23:00,898949.8704
ORD1,ORD,2020-01-27 0:00,901310.0797
ORD1,ORD,2020-01-27 1:00,860653.0244
ORD1,ORD,2020-01-27 2:00,845262.896
ORD1,ORD,2020-01-27 3:00,851281.4085
ORD1,ORD,2020-01-27 4:00,910689.2807
ORD1,ORD,2020-01-27 5:00,1024685.759
ORD1,ORD,2020-01-27 6:00,1106435.654
ORD1,ORD,2020-01-27 7:00,1182603.43
ORD1,ORD,2020-01-27 8:00,1242177.399
ORD1,ORD,2020-01-27 9:00,1292881.066
ORD1,ORD,2020-01-27 10:00,1355488.106
ORD1,ORD,2020-01-27 11:00,1387140.786
ORD1,ORD,2020-01-27 12:00,1373642.405
ORD1,ORD,2020-01-27 13:00,1355904.636
ORD1,ORD,2020-01-27 14:00,1355215.884
ORD1,ORD,2020-01-27 15:00,1350115.907
ORD1,ORD,2020-01-27 16:00,1320604.571
ORD1,ORD,2020-01-27 17:00,1301006.342
