cod_op_red,type_day,dates,predict
ORD1,SAB,2020-01-25 0:00,901284.8123
ORD1,SAB,2020-01-25 1:00,863994.4542
ORD1,SAB,2020-01-25 2:00,843093.4068
ORD1,SAB,2020-01-25 3:00,845739.7644
ORD1,SAB,2020-01-25 4:00,881837.3041
ORD1,SAB,2020-01-25 5:00,935130.2107
ORD1,SAB,2020-01-25 6:00,996236.5958
ORD1,SAB,2020-01-25 7:00,1085381.679
ORD1,SAB,2020-01-25 8:00,1168059.647
ORD1,SAB,2020-01-25 9:00,1225085.087
ORD1,SAB,2020-01-25 10:00,1279672.392
ORD1,SAB,2020-01-25 11:00,1310771.172
ORD1,SAB,2020-01-25 12:00,1304260.112
ORD1,SAB,2020-01-25 13:00,1260577.337
ORD1,SAB,2020-01-25 14:00,1223246.475
ORD1,SAB,2020-01-25 15:00,1204300.975
ORD1,SAB,2020-01-25 16:00,1185773.609
ORD1,SAB,2020-01-25 17:00,1192132.225
ORD1,SAB,2020-01-25 18:00,1285750.727
ORD1,SAB,2020-01-25 19:00,1297278.652
ORD1,SAB,2020-01-25 20:00,1238819.068
ORD1,SAB,2020-01-25 21:00,1140401.378
ORD1,SAB,2020-01-25 22:00,1035516.187
ORD1,SAB,2020-01-25 23:00,945893.7469
ORD1,DOM,2020-01-26 0:00,851292
ORD1,DOM,2020-01-26 1:00,809780.4501
ORD1,DOM,2020-01-26 2:00,782576.4025
ORD1,DOM,2020-01-26 3:00,772203.5857
ORD1,DOM,2020-01-26 4:00,779899.2974
ORD1,DOM,2020-01-26 5:00,787113.2315
ORD1,DOM,2020-01-26 6:00,795543.8298
ORD1,DOM,2020-01-26 7:00,879565.7328
ORD1,DOM,2020-01-26 8:00,944034.3693
ORD1,DOM,2020-01-26 9:00,1000000.782
ORD1,DOM,2020-01-26 10:00,1041027.241
ORD1,DOM,2020-01-26 11:00,1077035.973
ORD1,DOM,2020-01-26 12:00,1090653.026
ORD1,DOM,2020-01-26 13:00,1072027.4
ORD1,DOM,2020-01-26 14:00,1059667.907
ORD1,DOM,2020-01-26 15:00,1035322.787
ORD1,DOM,2020-01-26 16:00,1012218.933
ORD1,DOM,2020-01-26 17:00,1026787.142
ORD1,DOM,2020-01-26 18:00,1126928.976
ORD1,DOM,2020-01-26 19:00,1159988.328
ORD1,DOM,2020-01-26 20:00,1120922.07
ORD1,DOM,2020-01-26 21:00,1051854.392
ORD1,DOM,2020-01-26 22:00,966746.7597
ORD1,DOM,2020-01-26 23:00,892012.8698
ORD1,ORD,2020-01-27 0:00,889323.5755
ORD1,ORD,2020-01-27 1:00,848721.5556
ORD1,ORD,2020-01-27 2:00,833425.2513
ORD1,ORD,2020-01-27 3:00,839218.9239
ORD1,ORD,2020-01-27 4:00,898475.8701
ORD1,ORD,2020-01-27 5:00,1012706.704
ORD1,ORD,2020-01-27 6:00,1094566.773
ORD1,ORD,2020-01-27 7:00,1170561.372
ORD1,ORD,2020-01-27 8:00,1230037.599
ORD1,ORD,2020-01-27 9:00,1280727.919
ORD1,ORD,2020-01-27 10:00,1343466.415
ORD1,ORD,2020-01-27 11:00,1375670.926
ORD1,ORD,2020-01-27 12:00,1359792.533
ORD1,ORD,2020-01-27 13:00,1342010.196
ORD1,ORD,2020-01-27 14:00,1341099.705
ORD1,ORD,2020-01-27 15:00,1332555.493
ORD1,ORD,2020-01-27 16:00,1303989.905
ORD1,ORD,2020-01-27 17:00,1286067.181
ORD1,ORD,2020-01-27 18:00,1396467.638
ORD1,ORD,2020-01-27 19:00,1367534.754
ORD1,ORD,2020-01-27 20:00,1305178.847
ORD1,ORD,2020-01-27 21:00,1188668.452
ORD1,ORD,2020-01-27 22:00,1064999.453
ORD1,ORD,2020-01-27 23:00,969675.3908
ORD1,ORD,2020-01-28 0:00,886958.7965
ORD1,ORD,2020-01-28 1:00,852305.7941
ORD1,ORD,2020-01-28 2:00,834203.3352
ORD1,ORD,2020-01-28 3:00,841278.3629
ORD1,ORD,2020-01-28 4:00,903383.7478
ORD1,ORD,2020-01-28 5:00,1018611.878
ORD1,ORD,2020-01-28 6:00,1088780.627
ORD1,ORD,2020-01-28 7:00,1170713.37
ORD1,ORD,2020-01-28 8:00,1224205.474
ORD1,ORD,2020-01-28 9:00,1273563.124
ORD1,ORD,2020-01-28 10:00,1337323.748
ORD1,ORD,2020-01-28 11:00,1367598.648
ORD1,ORD,2020-01-28 12:00,1356482.746
