cod_op_red,type_day,dates,predict
ORD1,SAB,2020-02-01 0:00,933241.5862
ORD1,SAB,2020-02-01 1:00,895924.5734
ORD1,SAB,2020-02-01 2:00,874714.9151
ORD1,SAB,2020-02-01 3:00,876576.6784
ORD1,SAB,2020-02-01 4:00,911556.5272
ORD1,SAB,2020-02-01 5:00,963349.0357
ORD1,SAB,2020-02-01 6:00,1022777.671
ORD1,SAB,2020-02-01 7:00,1109895.358
ORD1,SAB,2020-02-01 8:00,1190528.062
ORD1,SAB,2020-02-01 9:00,1245032.08
ORD1,SAB,2020-02-01 10:00,1297151.053
ORD1,SAB,2020-02-01 11:00,1325299.152
ORD1,SAB,2020-02-01 12:00,1316243.153
ORD1,SAB,2020-02-01 13:00,1269795.326
ORD1,SAB,2020-02-01 14:00,1229757.224
ORD1,SAB,2020-02-01 15:00,1208152.896
ORD1,SAB,2020-02-01 16:00,1187082.639
ORD1,SAB,2020-02-01 17:00,1190720.955
ORD1,SAB,2020-02-01 18:00,1282192.395
ORD1,SAB,2020-02-01 19:00,1292015.804
ORD1,SAB,2020-02-01 20:00,1231917.288
ORD1,SAB,2020-02-01 21:00,1132073.29
ORD1,SAB,2020-02-01 22:00,1026042.841
ORD1,SAB,2020-02-01 23:00,935531.0434
ORD1,DOM,2020-02-02 0:00,847895.7332
ORD1,DOM,2020-02-02 1:00,809098.7651
ORD1,DOM,2020-02-02 2:00,786568.3588
ORD1,DOM,2020-02-02 3:00,771284.7175
ORD1,DOM,2020-02-02 4:00,776618.3591
ORD1,DOM,2020-02-02 5:00,788764.4878
ORD1,DOM,2020-02-02 6:00,796631.9505
ORD1,DOM,2020-02-02 7:00,871971.5707
ORD1,DOM,2020-02-02 8:00,925765.9773
ORD1,DOM,2020-02-02 9:00,981123.5868
ORD1,DOM,2020-02-02 10:00,1021884.976
ORD1,DOM,2020-02-02 11:00,1053738.633
ORD1,DOM,2020-02-02 12:00,1077205.445
ORD1,DOM,2020-02-02 13:00,1056994.351
ORD1,DOM,2020-02-02 14:00,1038270.046
ORD1,DOM,2020-02-02 15:00,1019162.402
ORD1,DOM,2020-02-02 16:00,991928.0713
ORD1,DOM,2020-02-02 17:00,1003777.122
ORD1,DOM,2020-02-02 18:00,1105489.574
ORD1,DOM,2020-02-02 19:00,1129746.307
ORD1,DOM,2020-02-02 20:00,1087577.796
ORD1,DOM,2020-02-02 21:00,1018015.678
ORD1,DOM,2020-02-02 22:00,929744.9459
ORD1,DOM,2020-02-02 23:00,855414.7479
ORD1,ORD,2020-02-03 0:00,874478.8088
ORD1,ORD,2020-02-03 1:00,872509.3057
ORD1,ORD,2020-02-03 2:00,864504.5372
ORD1,ORD,2020-02-03 3:00,891509.6013
ORD1,ORD,2020-02-03 4:00,912600.4123
ORD1,ORD,2020-02-03 5:00,1034882.327
ORD1,ORD,2020-02-03 6:00,1105691.41
ORD1,ORD,2020-02-03 7:00,1181125.2
ORD1,ORD,2020-02-03 8:00,1244445.844
ORD1,ORD,2020-02-03 9:00,1294317.598
ORD1,ORD,2020-02-03 10:00,1357081.585
ORD1,ORD,2020-02-03 11:00,1389940.527
ORD1,ORD,2020-02-03 12:00,1362525.165
ORD1,ORD,2020-02-03 13:00,1340251.201
ORD1,ORD,2020-02-03 14:00,1334351.532
ORD1,ORD,2020-02-03 15:00,1363374.84
ORD1,ORD,2020-02-03 16:00,1339393.485
ORD1,ORD,2020-02-03 17:00,1303277.738
ORD1,ORD,2020-02-03 18:00,1384129.778
ORD1,ORD,2020-02-03 19:00,1397246.995
ORD1,ORD,2020-02-03 20:00,1318470.742
ORD1,ORD,2020-02-03 21:00,1208224.734
ORD1,ORD,2020-02-03 22:00,1076644.967
ORD1,ORD,2020-02-03 23:00,979862.9009
ORD1,ORD,2020-02-04 0:00,899882.2791
ORD1,ORD,2020-02-04 1:00,867681.938
ORD1,ORD,2020-02-04 2:00,848767.5783
ORD1,ORD,2020-02-04 3:00,852005.7593
ORD1,ORD,2020-02-04 4:00,915956.7028
ORD1,ORD,2020-02-04 5:00,1030783.062
ORD1,ORD,2020-02-04 6:00,1108171.691
ORD1,ORD,2020-02-04 7:00,1185209.395
ORD1,ORD,2020-02-04 8:00,1244904.11
ORD1,ORD,2020-02-04 9:00,1298999.732
ORD1,ORD,2020-02-04 10:00,1359514.077
ORD1,ORD,2020-02-04 11:00,1384742.454
ORD1,ORD,2020-02-04 12:00,1376378.325
ORD1,ORD,2020-02-04 13:00,1357101.812
ORD1,ORD,2020-02-04 14:00,1358629.048
ORD1,ORD,2020-02-04 15:00,1364681.381
ORD1,ORD,2020-02-04 16:00,1330888.919
ORD1,ORD,2020-02-04 17:00,1309786.002
ORD1,ORD,2020-02-04 18:00,1387472.866
ORD1,ORD,2020-02-04 19:00,1372604.952
ORD1,ORD,2020-02-04 20:00,1321402.81
ORD1,ORD,2020-02-04 21:00,1207111.873
ORD1,ORD,2020-02-04 22:00,1077104.564
ORD1,ORD,2020-02-04 23:00,979251.1024
ORD1,ORD,2020-02-05 0:00,901327.8771
ORD1,ORD,2020-02-05 1:00,874668.5333
ORD1,ORD,2020-02-05 2:00,852470.0186
ORD1,ORD,2020-02-05 3:00,856763.3244
ORD1,ORD,2020-02-05 4:00,922240.5572
ORD1,ORD,2020-02-05 5:00,1035867.44
ORD1,ORD,2020-02-05 6:00,1119021.232
ORD1,ORD,2020-02-05 7:00,1188756.311
ORD1,ORD,2020-02-05 8:00,1251399.148
ORD1,ORD,2020-02-05 9:00,1302432.202
ORD1,ORD,2020-02-05 10:00,1364715.498
ORD1,ORD,2020-02-05 11:00,1394364.889
ORD1,ORD,2020-02-05 12:00,1392182.877
ORD1,ORD,2020-02-05 13:00,1366088.785
ORD1,ORD,2020-02-05 14:00,1373644.655
ORD1,ORD,2020-02-05 15:00,1371421.092
