cod_op_red,type_day,dates,predict
ORD1,SAB,2020-02-08 0:00,909724.9214
ORD1,SAB,2020-02-08 1:00,872397.9283
ORD1,SAB,2020-02-08 2:00,851723.7272
ORD1,SAB,2020-02-08 3:00,854231.7784
ORD1,SAB,2020-02-08 4:00,890139.0472
ORD1,SAB,2020-02-08 5:00,942949.1147
ORD1,SAB,2020-02-08 6:00,1003625.537
ORD1,SAB,2020-02-08 7:00,1091910.386
ORD1,SAB,2020-02-08 8:00,1174143.209
ORD1,SAB,2020-02-08 9:00,1230290.544
ORD1,SAB,2020-02-08 10:00,1283561.272
ORD1,SAB,2020-02-08 11:00,1313291.125
ORD1,SAB,2020-02-08 12:00,1305568.897
ORD1,SAB,2020-02-08 13:00,1260340.045
ORD1,SAB,2020-02-08 14:00,1221653.198
ORD1,SAB,2020-02-08 15:00,1201043.733
ORD1,SAB,2020-02-08 16:00,1180847.733
ORD1,SAB,2020-02-08 17:00,1185302.422
ORD1,SAB,2020-02-08 18:00,1276973.037
ORD1,SAB,2020-02-08 19:00,1287162.895
ORD1,SAB,2020-02-08 20:00,1227520.684
ORD1,SAB,2020-02-08 21:00,1127589.098
ORD1,SAB,2020-02-08 22:00,1021900.409
ORD1,SAB,2020-02-08 23:00,931394.882
ORD1,DOM,2020-02-09 0:00,814786.0397
ORD1,DOM,2020-02-09 1:00,777646.2065
ORD1,DOM,2020-02-09 2:00,752181.3116
ORD1,DOM,2020-02-09 3:00,741923.0213
ORD1,DOM,2020-02-09 4:00,744450.1899
ORD1,DOM,2020-02-09 5:00,752251.1968
ORD1,DOM,2020-02-09 6:00,760856.4833
ORD1,DOM,2020-02-09 7:00,837122.0921
ORD1,DOM,2020-02-09 8:00,896093.0304
ORD1,DOM,2020-02-09 9:00,952991.3324
ORD1,DOM,2020-02-09 10:00,990468.1384
ORD1,DOM,2020-02-09 11:00,1029565.326
ORD1,DOM,2020-02-09 12:00,1074070.857
ORD1,DOM,2020-02-09 13:00,1057952.322
ORD1,DOM,2020-02-09 14:00,1040630.468
ORD1,DOM,2020-02-09 15:00,1018944.576
ORD1,DOM,2020-02-09 16:00,1004317.658
ORD1,DOM,2020-02-09 17:00,1020557.196
ORD1,DOM,2020-02-09 18:00,1120458.697
ORD1,DOM,2020-02-09 19:00,1155906.744
ORD1,DOM,2020-02-09 20:00,1120044.175
ORD1,DOM,2020-02-09 21:00,1051153.684
ORD1,DOM,2020-02-09 22:00,966225.4063
ORD1,DOM,2020-02-09 23:00,896222.6732
ORD1,ORD,2020-02-10 0:00,902722.3636
ORD1,ORD,2020-02-10 1:00,875321.1559
ORD1,ORD,2020-02-10 2:00,857506.5997
ORD1,ORD,2020-02-10 3:00,857244.5413
ORD1,ORD,2020-02-10 4:00,905748.6166
ORD1,ORD,2020-02-10 5:00,1022662.704
ORD1,ORD,2020-02-10 6:00,1103220.599
ORD1,ORD,2020-02-10 7:00,1189377.868
ORD1,ORD,2020-02-10 8:00,1250575.303
ORD1,ORD,2020-02-10 9:00,1296553.833
ORD1,ORD,2020-02-10 10:00,1361605.931
ORD1,ORD,2020-02-10 11:00,1397992.367
ORD1,ORD,2020-02-10 12:00,1393490.234
ORD1,ORD,2020-02-10 13:00,1362651.365
ORD1,ORD,2020-02-10 14:00,1361922.655
ORD1,ORD,2020-02-10 15:00,1374332.82
ORD1,ORD,2020-02-10 16:00,1361623.884
ORD1,ORD,2020-02-10 17:00,1347120.822
ORD1,ORD,2020-02-10 18:00,1397640.884
ORD1,ORD,2020-02-10 19:00,1404686.741
ORD1,ORD,2020-02-10 20:00,1338083.045
ORD1,ORD,2020-02-10 21:00,1220204.654
ORD1,ORD,2020-02-10 22:00,1093823.211
ORD1,ORD,2020-02-10 23:00,998412.6637
ORD1,ORD,2020-02-11 0:00,904687.2354
ORD1,ORD,2020-02-11 1:00,874156.964
ORD1,ORD,2020-02-11 2:00,857287.0838
ORD1,ORD,2020-02-11 3:00,848306.5918
ORD1,ORD,2020-02-11 4:00,907042.4522
ORD1,ORD,2020-02-11 5:00,1039486.847
ORD1,ORD,2020-02-11 6:00,1115866.772
ORD1,ORD,2020-02-11 7:00,1191073.48
ORD1,ORD,2020-02-11 8:00,1253322.046
ORD1,ORD,2020-02-11 9:00,1306402.778
ORD1,ORD,2020-02-11 10:00,1367402.554
ORD1,ORD,2020-02-11 11:00,1403217.117
ORD1,ORD,2020-02-11 12:00,1398902.292
ORD1,ORD,2020-02-11 13:00,1352187.551
ORD1,ORD,2020-02-11 14:00,1362833.338
ORD1,ORD,2020-02-11 15:00,1363089.324
ORD1,ORD,2020-02-11 16:00,1348567.248
ORD1,ORD,2020-02-11 17:00,1318631.945
ORD1,ORD,2020-02-11 18:00,1410352.109
ORD1,ORD,2020-02-11 19:00,1407038.382
ORD1,ORD,2020-02-11 20:00,1314495.894
ORD1,ORD,2020-02-11 21:00,1187374.766
ORD1,ORD,2020-02-11 22:00,1068664.956
ORD1,ORD,2020-02-11 23:00,976441.141
ORD1,ORD,2020-02-12 0:00,896720.5397
ORD1,ORD,2020-02-12 1:00,866321.3094
ORD1,ORD,2020-02-12 2:00,845576.1366
ORD1,ORD,2020-02-12 3:00,847764.5837
ORD1,ORD,2020-02-12 4:00,909507.0914
ORD1,ORD,2020-02-12 5:00,1027729.548
ORD1,ORD,2020-02-12 6:00,1103102.359
ORD1,ORD,2020-02-12 7:00,1179440.44
ORD1,ORD,2020-02-12 8:00,1238633.121
ORD1,ORD,2020-02-12 9:00,1295087.638
ORD1,ORD,2020-02-12 10:00,1355828.052
ORD1,ORD,2020-02-12 11:00,1388155.417
ORD1,ORD,2020-02-12 12:00,1376277.245
ORD1,ORD,2020-02-12 13:00,1354679.023
ORD1,ORD,2020-02-12 14:00,1357116.801
ORD1,ORD,2020-02-12 15:00,1356317.937
ORD1,ORD,2020-02-12 16:00,1328140.449
ORD1,ORD,2020-02-12 17:00,1305550.722
ORD1,ORD,2020-02-12 18:00,1382275.087
ORD1,ORD,2020-02-12 19:00,1378588.475
ORD1,ORD,2020-02-12 20:00,1321192.856
ORD1,ORD,2020-02-12 21:00,1203963.851
ORD1,ORD,2020-02-12 22:00,1077732.453
ORD1,ORD,2020-02-12 23:00,983792.3818
ORD1,ORD,2020-02-13 0:00,904553.7052
ORD1,ORD,2020-02-13 1:00,872339.7734
ORD1,ORD,2020-02-13 2:00,851846.4548
ORD1,ORD,2020-02-13 3:00,852498.8782
ORD1,ORD,2020-02-13 4:00,919337.8105
ORD1,ORD,2020-02-13 5:00,1037358.667
ORD1,ORD,2020-02-13 6:00,1115538.624
ORD1,ORD,2020-02-13 7:00,1188562.97
ORD1,ORD,2020-02-13 8:00,1245347.99
ORD1,ORD,2020-02-13 9:00,1295224.823
ORD1,ORD,2020-02-13 10:00,1357225.879
ORD1,ORD,2020-02-13 11:00,1393016.65
ORD1,ORD,2020-02-13 12:00,1383277.824
ORD1,ORD,2020-02-13 13:00,1366200.792
ORD1,ORD,2020-02-13 14:00,1364442.541
ORD1,ORD,2020-02-13 15:00,1363121.719
ORD1,ORD,2020-02-13 16:00,1336015.708
ORD1,ORD,2020-02-13 17:00,1310750.831
ORD1,ORD,2020-02-13 18:00,1388999.829
ORD1,ORD,2020-02-13 19:00,1411003.733
ORD1,ORD,2020-02-13 20:00,1335972.823
ORD1,ORD,2020-02-13 21:00,1210441.321
ORD1,ORD,2020-02-13 22:00,1080972.511
ORD1,ORD,2020-02-13 23:00,985316.1753
ORD1,ORD,2020-02-14 0:00,904447.1701
ORD1,ORD,2020-02-14 1:00,875305.1704
ORD1,ORD,2020-02-14 2:00,851592.076
ORD1,ORD,2020-02-14 3:00,835892.4975
ORD1,ORD,2020-02-14 4:00,907677.8656
ORD1,ORD,2020-02-14 5:00,1030481.355
ORD1,ORD,2020-02-14 6:00,1110311.82
ORD1,ORD,2020-02-14 7:00,1183418.22
ORD1,ORD,2020-02-14 8:00,1243119.674
ORD1,ORD,2020-02-14 9:00,1291117.473
ORD1,ORD,2020-02-14 10:00,1350234.755
ORD1,ORD,2020-02-14 11:00,1385744.809
